true	low	high
16.835444000000006	9.85689	30.3676
17.308248000000003	14.3517	35.045
17.016034	11.7415	30.253
5.146036	6.59467	22.9831
24.882282000000007	18.7625	43.1164
27.260672000000003	20.9067	46.2341
20.848696000000004	14.663	41.8147
16.099154000000006	9.40678	31.0635
34.144794000000005	33.0531	51.3704
31.026314000000003	11.8884	22.7851
26.986063	8.24147	17.104
23.960368	3.61426	10.6044
9.261154	2.64802	9.00458
25.692579	5.20378	12.8898
26.835035	6.10343	14.2187
29.601977	10.2506	20.1359
31.597717	13.74	26.7233
32.623328	17.4724	32.6261
5.92134	4.25711	15.0764
25.814195	7.96583	20.5767
32.321215	12.612	26.3972
11.455508000000007	2.45696	12.1176
15.263561000000006	7.32777	19.1718
30.051655	9.20361	21.7495
33.124211	21.9252	39.3142
22.083704	3.79582	20.8577
22.745726	6.8689	26.8008
31.415123	17.205	34.7309
11.575354	5.56023	17.1818
2.606859	1.67072	10.3686
14.969955	9.39552	24.1747
16.597095	12.6679	28.1375
21.549352	14.7475	31.2169
33.325475000000004	27.9493	47.102
34.485179	40.0162	53.9853
45.116815	51.0097	54.1401
24.597106000000007	1.10741	16.6695
25.938855000000007	7.8089	40.9042
16.833835000000008	1.38352	19.9294
27.949709000000002	40.3647	51.7747
21.829585000000005	28.4853	43.1558
8.106679000000007	4.79697	34.7754
21.812298000000006	27.5112	42.161
19.715911000000002	21.6697	34.1756
9.271357	5.76661	20.4281
11.932172	8.92554	23.3162
19.543022	18.722	29.5064
19.931146000000005	25.0936	39.2571
23.565425	32.7889	47.0253
17.514538	8.96197	40.7291
28.742568000000006	46.0436	53.2503
9.627209	5.06833	32.9474
17.806135	9.68447	45.0225
28.429148000000005	44.2932	52.5537
17.382788	6.14727	22.8415
22.311590000000006	15.9816	29.9364
14.468703000000007	5.17946	17.6218
19.932263000000006	9.99786	21.842
8.804030000000006	6.21795	17.9485
27.355262000000007	31.9918	45.1931
11.819996000000007	1.55683	15.099
15.509551000000007	7.30663	27.2004
26.811192000000005	22.9222	37.9628
11.695990000000007	13.608	26.8067
6.658542000000007	8.68022	19.3192
14.046580000000008	15.5505	29.4917
26.048601000000005	17.7786	32.4499
23.143286000000007	11.7065	26.0942
15.950232000000007	7.56209	22.2542
28.098277000000003	36.0537	46.8852
23.673216000000004	28.6566	41.0856
5.607736000000007	11.0496	24.0612
20.526515000000007	19.5771	32.0616
14.325096000000007	12.6235	25.1211
5.188381000000007	10.1705	22.7391
23.375961000000004	22.9978	35.4801
21.433781000000003	14.0226	29.1243
11.388825	7.40006	20.8556
28.120191000000005	38.7336	49.2548
23.346088000000005	29.7589	44.4165
22.515019000000006	21.5602	33.6393
10.424970000000007	10.0097	17.9949
2.964960000000007	8.64971	16.5671
18.599594000000007	11.4827	19.7649
7.075775000000007	2.32956	13.5528
15.700003000000008	8.06093	17.7108
19.072229000000007	13.4223	22.3222
14.135642000000008	8.60467	19.3903
19.265777000000007	18.1442	28.0136
8.788168000000008	10.6943	22.2824
23.820708000000007	33.9063	47.2884
15.795690000000008	17.9925	45.7156
28.318603000000007	43.3909	52.1359
5.5837770000000075	9.01055	23.9396
15.948832000000007	15.5669	34.1349
24.920635000000008	26.5759	43.8038
3.8754620000000073	7.66091	26.3395
11.135644000000008	16.0047	35.6472
1.723860000000007	11.5964	29.6105
33.232711	49.395	54.1112
26.023001	24.0201	53.1314
